StateFIPS,State Name,CountyFIPS,County Name,Socioeconomic Resilience,Food Resilience,Healthcare Resilience,Community Resilience Index (CRI)
13,Georgia,001,"Appling County, Georgia",0.4410865673668936,0.4,0.8346657003262656,0.558584089231053
13,Georgia,003,"Atkinson County, Georgia",0.259350210413319,0.6666666666666667,0.7487544058586506,0.5582570943128788
13,Georgia,005,"Bacon County, Georgia",0.4547406967173661,1.0,0.3923922629196308,0.6157109865456656
13,Georgia,007,"Baker County, Georgia",0.5351272897248756,0.0,0.9079022880954164,0.48100985927343065
13,Georgia,009,"Baldwin County, Georgia",0.4334824176684482,0.5555555555555556,0.79446979644483,0.5945025898896112
13,Georgia,011,"Banks County, Georgia",0.57345644615947,1.0,0.701172317756404,0.7582095879719579
13,Georgia,013,"Barrow County, Georgia",0.6662475247621982,0.7222222222222222,0.6527961081701726,0.6804219517181976
13,Georgia,015,"Bartow County, Georgia",0.6342453505856696,0.7333333333333334,0.6181554855035554,0.6619113898075194
13,Georgia,017,"Ben Hill County, Georgia",0.534013896076184,0.6,0.651532464113387,0.5951821200631904
13,Georgia,019,"Berrien County, Georgia",0.4832111223779701,0.6666666666666667,0.5819643738392637,0.5772807209613001
13,Georgia,021,"Bibb County, Georgia",0.3969408363384619,0.6590909090909092,0.7552957579287898,0.6037758344527202
13,Georgia,023,"Bleckley County, Georgia",0.546338716827554,0.6666666666666667,0.888073757189338,0.7003597135611862
13,Georgia,025,"Brantley County, Georgia",0.5506247283984429,0.6666666666666667,0.8437636317781858,0.6870183422810985
13,Georgia,027,"Brooks County, Georgia",0.4695333666568942,0.6,0.728399086871198,0.5993108178426974
13,Georgia,029,"Bryan County, Georgia",0.7460753860288776,0.8333333333333334,0.7179896724447702,0.7657994639356603
13,Georgia,031,"Bulloch County, Georgia",0.4725552003254083,0.8333333333333334,0.8468720059604163,0.7175868465397193
13,Georgia,033,"Burke County, Georgia",0.5768244174410972,0.5,0.6404524017178688,0.572425606386322
13,Georgia,035,"Butts County, Georgia",0.5029093171617709,0.6666666666666667,0.7793383433302707,0.6496381090529028
13,Georgia,037,"Calhoun County, Georgia",0.3850307671379563,0.5,0.6844006626645528,0.5231438099341696
13,Georgia,039,"Camden County, Georgia",0.5902406058698095,0.6,0.8155319895023065,0.6685908651240386
13,Georgia,043,"Candler County, Georgia",0.3934951173104741,1.0,0.8497589639240699,0.7477513604115147
13,Georgia,045,"Carroll County, Georgia",0.513124654951792,0.7058823529411764,0.8066355475164871,0.6752141851364852
13,Georgia,047,"Catoosa County, Georgia",0.7439221243480916,0.9090909090909092,0.7067886063819752,0.7866005466069919
13,Georgia,049,"Charlton County, Georgia",0.4119422786384351,0.5,0.9157896885627004,0.6092439890670451
13,Georgia,051,"Chatham County, Georgia",0.6208898996880992,0.8028169014084507,0.7167987415796445,0.7135018475587314
13,Georgia,053,"Chattahoochee County, Georgia",0.7190827975316776,0.4,0.9830682325913817,0.7007170100410197
13,Georgia,055,"Chattooga County, Georgia",0.3945965011661522,0.5,0.8656511532002034,0.5867492181221184
13,Georgia,057,"Cherokee County, Georgia",0.720885220588952,0.9230769230769232,0.7037174127886703,0.7825598521515151
13,Georgia,059,"Clarke County, Georgia",0.3987262338157805,0.5666666666666667,0.6687483813326228,0.5447137606050233
13,Georgia,061,"Clay County, Georgia",0.5361829887055489,1.0,0.63774250951696,0.7246418327408363
13,Georgia,063,"Clayton County, Georgia",0.528680025751187,0.5510204081632653,0.4066118265582712,0.49543742015757447
13,Georgia,065,"Clinch County, Georgia",0.3087326751917724,1.0,0.5773241967989216,0.628685623996898
13,Georgia,067,"Cobb County, Georgia",0.7341204253024056,0.9,0.6282475838910035,0.7541226697311364
13,Georgia,069,"Coffee County, Georgia",0.4586342744530534,0.7777777777777778,0.600980545654306,0.6124641992950457
13,Georgia,071,"Colquitt County, Georgia",0.4090703741113023,0.6,0.3268985570711916,0.44532297706083124
13,Georgia,073,"Columbia County, Georgia",0.7997628611133224,1.0,0.8593793186623482,0.8863807265918902
13,Georgia,075,"Cook County, Georgia",0.4736997530974968,1.0,0.7298354533015488,0.7345117354663485
13,Georgia,077,"Coweta County, Georgia",0.7558700206226588,0.85,0.7617450602619671,0.7892050269615419
13,Georgia,079,"Crawford County, Georgia",0.6239870660093709,0.6666666666666667,0.82486198688026,0.7051719065187658
13,Georgia,081,"Crisp County, Georgia",0.352608293836499,0.8333333333333334,0.7808794712694934,0.6556070328131086
13,Georgia,083,"Dade County, Georgia",0.6936384436708529,1.0,0.7593939450378552,0.8176774629029027
13,Georgia,085,"Dawson County, Georgia",0.7489441776682091,1.0,0.7179565147278455,0.8223002307986848
13,Georgia,087,"Decatur County, Georgia",0.5219502667302021,0.5714285714285714,0.7197462402077834,0.6043750261221856
13,Georgia,089,"DeKalb County, Georgia",0.6270681439428336,0.7361111111111112,0.727122331828402,0.6967671956274489
13,Georgia,091,"Dodge County, Georgia",0.513249201912507,1.0,0.8435706585853026,0.7856066201659364
13,Georgia,093,"Dooly County, Georgia",0.49614705023403,0.3333333333333333,0.3742789410937828,0.401253108220382
13,Georgia,095,"Dougherty County, Georgia",0.338953568066148,0.4444444444444444,0.7416459929656235,0.5083480018254053
13,Georgia,097,"Douglas County, Georgia",0.6572701547426982,0.7,0.6840608834860715,0.6804436794095898
13,Georgia,099,"Early County, Georgia",0.4002648601392971,1.0,0.9448756336091152,0.7817134979161374
13,Georgia,101,"Echols County, Georgia",0.5224861161337147,1.0,0.0,0.5074953720445715
