County Name,State,county,Poverty Rate,No_HS_Education,Housing_Cost_Burden,FIS,Resilience_Food
"Appling County, Georgia",13,001,0.25411868422502615,0.2039841282694955,0.13002232142857142,0.6,0.4
"Atkinson County, Georgia",13,003,0.26908118619348564,0.29718951766046336,0.17880794701986755,0.3333333333333333,0.6666666666666667
"Bacon County, Georgia",13,005,0.2445018167909734,0.16068493150684932,0.18129770992366412,0.0,1.0
"Baker County, Georgia",13,007,0.2506830601092896,0.1388499298737728,0.12098765432098765,1.0,0.0
"Baldwin County, Georgia",13,009,0.22560418359057677,0.12015870704717531,0.27462786419133633,0.4444444444444444,0.5555555555555556
"Banks County, Georgia",13,011,0.13156142492509154,0.18056551174830746,0.1657250470809793,0.0,1.0
"Barrow County, Georgia",13,013,0.1045031815956926,0.09974339566910964,0.2043348775645268,0.2777777777777778,0.7222222222222222
"Bartow County, Georgia",13,015,0.1202493615742827,0.11507925492046749,0.19938760806916425,0.26666666666666666,0.7333333333333334
"Ben Hill County, Georgia",13,017,0.2564618205477021,0.13733275787656452,0.11743772241992882,0.4,0.6
"Berrien County, Georgia",13,019,0.21066145687970975,0.18715128327753866,0.15814850530376084,0.3333333333333333,0.6666666666666667
"Bibb County, Georgia",13,021,0.252453997936978,0.11461849113291843,0.28768113323456074,0.3409090909090909,0.6590909090909092
"Bleckley County, Georgia",13,023,0.1803511260861855,0.11285189718482252,0.22203098106712565,0.3333333333333333,0.6666666666666667
"Brantley County, Georgia",13,025,0.16812093591952426,0.1755498474875582,0.15336571825121442,0.3333333333333333,0.6666666666666667
"Brooks County, Georgia",13,027,0.23109400223519186,0.14384045181786093,0.20271739130434782,0.4,0.6
"Bryan County, Georgia",13,029,0.08816829381682938,0.06428597697767643,0.18714321171506576,0.16666666666666666,0.8333333333333334
"Bulloch County, Georgia",13,031,0.22512103667734568,0.10445523506903265,0.25562523054223535,0.16666666666666666,0.8333333333333334
"Burke County, Georgia",13,033,0.15350086000755128,0.15401497547121096,0.17058572039333048,0.5,0.5
"Butts County, Georgia",13,035,0.19111769724729444,0.17383400556723286,0.17721518987341772,0.3333333333333333,0.6666666666666667
"Calhoun County, Georgia",13,037,0.2611183355006502,0.20692905962762195,0.17456896551724138,0.5,0.5
"Camden County, Georgia",13,039,0.15996616100440292,0.05909770974795719,0.2682694919858734,0.4,0.6
"Candler County, Georgia",13,043,0.24941353101248007,0.18053073009762133,0.21232057416267944,0.0,1.0
"Carroll County, Georgia",13,045,0.17279777812712885,0.12952292235012308,0.2430773836252058,0.29411764705882354,0.7058823529411764
"Catoosa County, Georgia",13,047,0.08701308411214953,0.09381717569437055,0.1537544696066746,0.09090909090909091,0.9090909090909091
"Charlton County, Georgia",13,049,0.21324759975336915,0.1762502753910553,0.2402287893231649,0.5,0.5
"Chatham County, Georgia",13,051,0.14134949683006467,0.07528427526031527,0.23848772621394015,0.19718309859154928,0.8028169014084507
"Chattahoochee County, Georgia",13,053,0.1776893751035969,0.04165762638316338,0.14082191780821918,0.6,0.4
"Chattooga County, Georgia",13,055,0.21507449605609114,0.26162010847378553,0.1489864864864865,0.5,0.5
"Cherokee County, Georgia",13,057,0.07037632506115667,0.06392163466936118,0.23303259736138188,0.07692307692307693,0.9230769230769231
"Clarke County, Georgia",13,059,0.2618949748227315,0.08400416187503422,0.31338567286705543,0.43333333333333335,0.5666666666666667
"Clay County, Georgia",13,061,0.25651867512332627,0.1742176553012611,0.069164265129683,0.0,1.0
"Clayton County, Georgia",13,063,0.16435462218105754,0.11927969331968373,0.24985885958545043,0.4489795918367347,0.5510204081632653
"Clinch County, Georgia",13,065,0.3018471241928217,0.24765437486362646,0.15396113602391628,0.0,1.0
"Cobb County, Georgia",13,067,0.086059028725857,0.060224342019853244,0.2065852527438553,0.1,0.9
"Coffee County, Georgia",13,069,0.22227793516684635,0.20184422623447013,0.15125094768764216,0.2222222222222222,0.7777777777777778
"Colquitt County, Georgia",13,071,0.23836015630174184,0.21098217570143463,0.17125435540069686,0.4,0.6
"Columbia County, Georgia",13,073,0.06866585706637417,0.05896102378308888,0.16213116463351057,0.0,1.0
"Cook County, Georgia",13,075,0.20523115073507706,0.17660343270099368,0.18700696055684454,0.0,1.0
"Coweta County, Georgia",13,077,0.08539570490461892,0.07579372361901267,0.16611346970281746,0.15,0.85
"Crawford County, Georgia",13,079,0.13557058185157358,0.17075438800418458,0.12278876170655567,0.3333333333333333,0.6666666666666667
"Crisp County, Georgia",13,081,0.2623680656295333,0.15410859465737514,0.2715617715617716,0.16666666666666666,0.8333333333333334
"Dade County, Georgia",13,083,0.09839679358717435,0.15414310081694946,0.11592505854800937,0.0,1.0
"Dawson County, Georgia",13,085,0.09663007895243597,0.08591376645525768,0.14767096134786917,0.0,1.0
"Decatur County, Georgia",13,087,0.21031689131058215,0.1427086581436441,0.17519181585677748,0.42857142857142855,0.5714285714285714
"DeKalb County, Georgia",13,089,0.13503014406934208,0.07486551795787384,0.23999255561039948,0.2638888888888889,0.7361111111111112
"Dodge County, Georgia",13,091,0.20857646152152373,0.12941014332965822,0.20248328557784145,0.0,1.0
"Dooly County, Georgia",13,093,0.22559260747288068,0.17941210914627007,0.1378986866791745,0.6666666666666666,0.33333333333333337
"Dougherty County, Georgia",13,095,0.263028101241459,0.13807606263982103,0.3045044076542679,0.5555555555555556,0.4444444444444444
"Douglas County, Georgia",13,097,0.12168789471827259,0.0887794704193857,0.20750873108265425,0.3,0.7
"Early County, Georgia",13,099,0.25,0.1798520204894707,0.2057188244638602,0.0,1.0
"Echols County, Georgia",13,101,0.25440260092115957,0.1815686274509804,0.07611548556430446,0.0,1.0
"Effingham County, Georgia",13,103,0.07596886912325286,0.08217495001084102,0.1610586011342155,0.0,1.0
"Elbert County, Georgia",13,105,0.2347283597608526,0.1600290170475154,0.2099519860323003,0.4,0.6
"Emanuel County, Georgia",13,107,0.24932299077431497,0.17772165359564004,0.11571254567600488,0.6666666666666666,0.33333333333333337
"Evans County, Georgia",13,109,0.23654033041788144,0.21206969825754357,0.15912208504801098,0.0,1.0
"Fannin County, Georgia",13,111,0.11634703927613405,0.10935266489687563,0.12666397741024607,0.0,1.0
"Fayette County, Georgia",13,113,0.05413183500068521,0.03829734425415736,0.2560914967677772,0.0,1.0
"Floyd County, Georgia",13,115,0.1867771411531662,0.1481775081177493,0.21383694839192222,0.35,0.65
"Forsyth County, Georgia",13,117,0.05281832472490456,0.05116087682984613,0.20810012437810946,0.022222222222222223,0.9777777777777777
"Franklin County, Georgia",13,119,0.19043007439362591,0.15509376583882412,0.14101497504159735,0.0,1.0
"Fulton County, Georgia",13,121,0.1286438939203502,0.05461382356452191,0.2331253435688729,0.21782178217821782,0.7821782178217822
"Gilmer County, Georgia",13,123,0.1514363707266346,0.13729418938931962,0.1573492462311558,0.2,0.8
"Glascock County, Georgia",13,125,0.15604085945755547,0.17093142272262027,0.09152542372881356,1.0,0.0
"Glynn County, Georgia",13,127,0.16774209110754645,0.08772431423333726,0.1809926272253192,0.3333333333333333,0.6666666666666667
